ts,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772269947062,43030,25791,2188332,0,0,4545,10901,0,3397,6733
1772269947853,12377,9824,2225572,0,0,75,1779,0,43,45
1772269947881,12792,10154,2224560,0,0,59,1779,0,43,45
1772269948680,1213,523,2220248,0,0,134,131,0,128,0
1772269948697,822,193,2219860,0,0,129,131,0,128,0
1772269949481,4182,1528,2214764,0,0,266,829,0,388,1415
1772269949505,4206,1528,2167824,0,0,392,841,0,388,1415
1772269950336,5925,3462,2223816,0,0,138,723,0,8,45
1772269950346,5925,3462,2222224,0,0,12,711,0,8,45
1772269951186,312,81,2216084,0,0,55,2721,0,1,1349
1772269951204,312,81,2216084,0,0,55,2721,0,1,1349
1772269952056,5531,3891,2191368,0,0,7,237,0,5,670
1772269952033,5531,3891,2209376,0,0,7,237,0,5,670
1772269952872,5035,2863,2216676,0,0,2,62,0,0,729
1772269952942,5035,2863,2165120,0,0,4,62,0,0,729
1772269953730,1442,624,2251648,0,0,7,177,0,1,0
1772269953842,1442,624,2216236,0,0,5,178,0,1,0
1772269954597,27,19,2252724,0,0,0,1,0,1,0
1772269954644,27,19,2202172,0,0,0,0,0,1,0
1772269955464,1,0,2235216,0,0,3,105,0,0,0
1772269955483,1,0,2223132,0,0,3,105,0,0,0
1772269956370,0,0,2216108,0,0,0,1,0,1,0
